Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
BMW 6-Series,20,238,-91.60,1118,3166,-64.69
BMW 7-Series,611,559,9.30,7433,6685,11.19
Audi A8,245,253,-3.16,1962,909,115.84
Genesis G90,289,0,0.00,1829,1984,-7.81
Kia K900,17,17,0.00,328,277,18.41
Lexus LS,468,835,-43.95,4416,7506,-41.17
Porsche Panamera,360,541,-33.46,5376,6982,-23.00
Mercedes-Benz S-Class,1211,1486,-18.51,9964,11820,-15.70
Jaguar XJ,65,78,-16.67,995,1365,-27.11
