Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Mercedes-Benz G-Class,156,0,0.00,5276,2380,121.68
Mercedes-Benz GLS-Class,2733,2142,27.59,16820,16548,1.64
Toyota Land Cruiser,418,363,15.15,2804,2694,4.08
Lexus LX,391,377,3.71,3724,4112,-9.44
Infiniti QX80,1123,1737,-35.35,15326,15114,1.40
Land Rover Range Rover,1553,1642,-5.42,15056,15205,-0.98
BMW X7,2047,0,0.00,15801,0,0.00
