Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Toyota Avalon,1755,2163,-18.86,24208,28817,-15.99
Kia Cadenza,153,207,-26.09,1209,4158,-70.92
Kia K900,17,17,0.00,328,277,18.41
Nissan Maxima,3217,2505,28.42,29416,34207,-14.01
